Individual,SampleID,Family,Genus,Epithet,nRawReads,nMergedReads,nUnmergedReads
I30448,AHE19_0014,Erebidae,Pseudalus,limona,2855139,1246548,362043
I30519,AHE19_0110,Erebidae,Symphlebia,hyalina,3661629,1772861,115907
I30550,UCT19_0076,Erebidae,Lycomorpha,pholus,3883711,1677277,529157
I30454,AHE19_0023,Erebidae,Selenarctia,elissa,4356529,1933463,489603
I30545,Makani_3,Erebidae,Cisthene,deserta,4718234,1772760,1172714
I30422,AHE19_0029,Erebidae,Arctiarpia,melanopasta,4872505,2331194,210117
I30544,Makani_28,Erebidae,Cisthene,angelus,5176883,1841007,1494869
I30542,Makani_18,Erebidae,Bruceia,hubbardi,5448637,2166567,1115503
I30455,AHE19_0031,Erebidae,Sutonocrea,reducta,5916050,2843683,228684
I30437,AHE19_0038,Erebidae,Lepidolutzia,baucis,5968117,2621309,725499
I30430,AHE19_0007,Erebidae,Ectypia,bivittata,6041605,2822032,397541
I30534,EBY17_0003,Erebidae,Apiconoma,cf opposita,6085928,2879123,327682
I30538,AZ09_0001,Erebidae,Cisthene,tenuifascia,6173484,2090907,1991670
I30541,NOC15_0004,Erebidae,Cisthene,plumbea,6275638,2396225,1483188
I30434,AHE19_0019,Erebidae,Hyperthaema,sp CR1,6354015,1760862,2832291
I30535,PRU99_01_0001,Erebidae,Mazaeras,conferta,6408348,2927765,552818
I30540,YAN14_0060,Erebidae,Josioides,sp,6523572,2526623,1470326
I30475,AHE19_0058,Erebidae,Hypidalia,enervis,6600451,2820733,958985
I30543,Makani_17,Erebidae,Bruceia,pulverina,6766792,2362734,2041324
I30520,AZ05_01_0001,Erebidae,Trocodima,fuscipes,6787792,3121453,544886
I30470,AHE19_0071,Erebidae,Echeta,rhodoptera,6808248,2338771,2130706
I30524,GUF17_01_0095,Erebidae,Haemanota,sanguidorsia,6822144,3047989,726166
I30495,AHE19_0077,Erebidae,Chetone,angulosa,6870155,2721510,1427135
I30539,YAN14_0113,Erebidae,Gardinia,magnifica,6871793,2558696,1754401
I30546,Makani_4,Erebidae,Cisthene,faustinula,7074785,2770670,1533445
I30435,AHE19_0002,Erebidae,Kodiosoma,fulva,7080385,3395026,290333
I30532,AHE19_0121,Erebidae,Heliactinidia,chiguinda,7458030,3575360,307310
I30481,AHE19_0062,Erebidae,Neonerita,dorsipuncta,7584553,2569453,2445647
I30428,AHE19_0025,Erebidae,Cratoplastis,diulta,7831431,3712510,406411
I30502,GUF19_01_0087,Erebidae,Azatrephes,discalis,7848026,2902678,2042670
I30480,AHE19_0119,Erebidae,Melese,veneta,7889580,3225717,1438146
I30472,AHE19_0097,Erebidae,Ernassa,cruenta,7962946,2991509,1979928
